,,,,,,rmse,rmse,rmse,msll,msll,msll,f1,f1,f1,precision,precision,precision,recall,recall,recall,avg_step_ms,avg_step_ms,avg_step_ms
,,,,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
method,dataset,protocol,outlier_type,outlier_ratio,stream,,,,,,,,,,,,,,,,,,
guardgp,neal,fixed-stream,uniform,0.8,,0.1081749002117199,0.0,3,-2.0540134133590966,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,0.09216926863292174,0.001878105192772706,3
guardgp,neal,vary-stream,asymmetric,0.1,,0.11513316104030916,0.011940508255641195,10,-1.9983570796682024,0.12383168446649948,10,0.9941176470588236,0.009471488069404828,10,0.9884615384615385,0.01857868813614028,10,1.0,0.0,10,0.5099954969900072,0.07937276047874264,10
guardgp,neal,vary-stream,asymmetric,0.2,,0.11784400756597017,0.011169408175101148,10,-1.996786572482425,0.19213200971084302,10,0.9985074626865671,0.0024032133907445383,10,0.9970297029702969,0.004782632589501514,10,1.0,0.0,10,0.45082349419396406,0.02193322005716903,10
guardgp,neal,vary-stream,asymmetric,0.3,,0.10761236950982558,0.012920382870154009,10,-1.996209455598158,0.26971190592866323,10,0.9976962039104624,0.0051396606929358475,10,0.9954496902371288,0.010117339285836852,10,1.0,0.0,10,0.41800688093011873,0.014669845969609805,10
guardgp,neal,vary-stream,asymmetric,0.4,,0.11529175801801454,0.015503921432024075,10,-1.9337843253082359,0.20703061464475808,10,0.9985074626865671,0.0024032133907445218,10,0.9970297029702969,0.004782632589501503,10,1.0,0.0,10,0.3908005962717731,0.010812208835724462,10
guardgp,neal,vary-stream,asymmetric,0.5,,0.10950532540761063,0.018456325988113528,10,-2.0710042380776374,0.1698332815462984,10,0.9988103001916958,0.003124451889251445,10,0.9976408093117726,0.006188542005507539,10,1.0,0.0,10,0.3503986946863892,0.012319929902382558,10
guardgp,neal,vary-stream,asymmetric,0.6,,0.11291648400276884,0.012533837428120212,10,-2.0191806950537527,0.17810133933346872,10,0.9996672212978369,0.0007015591037533249,10,0.9993355481727575,0.0014007874463647545,10,1.0,0.0,10,0.3121442192375822,0.01068500703837085,10
guardgp,neal,vary-stream,asymmetric,0.7,,0.11306304395820924,0.028499896921155617,10,-1.9622895408656849,0.34377209783517665,10,0.9995724463627459,0.0009616995372840606,10,0.9991469178969179,0.001918401659335679,10,1.0,0.0,10,0.202224457423891,0.07191412705596577,10
guardgp,neal,vary-stream,asymmetric,0.8,,0.11575907257480503,0.025796747845248037,10,-1.9795302114073934,0.22931409800143576,10,0.9997503121098626,0.000526388291330554,10,0.9995012468827931,0.0010514638936552463,10,1.0,0.0,10,0.13641427360277658,0.07827881443356499,10
guardgp,neal,vary-stream,focused,0.1,,0.10944373741557904,0.005578251426700191,10,-2.004863450650837,0.0842386924592775,10,0.9940590176664725,0.00835047577821981,10,0.9902322775263952,0.013719981141083328,10,0.998,0.006324555320336744,10,0.46853100832263206,0.0030742221088718713,10
guardgp,neal,vary-stream,focused,0.2,,0.1098954298560795,0.015444287521971061,10,-1.9126329219574878,0.2955998699661938,10,0.9941022297546288,0.008806793210047096,10,0.9894085412980809,0.017514291107625885,10,0.999,0.0031622776601683764,10,0.4371138639829081,0.006359514940817541,10
guardgp,neal,vary-stream,focused,0.3,,0.10599464731446655,0.011541182173854962,10,-1.99866304273102,0.2167978099559265,10,0.9980197586990732,0.0041632178972941395,10,0.9960780940913392,0.008222949030421547,10,1.0,0.0,10,0.40533032373945305,0.0050328060330231215,10
guardgp,neal,vary-stream,focused,0.4,,0.10752963968909102,0.023674722765048267,10,-2.0252152628102564,0.29441720427301554,10,0.9903050214476881,0.02806625003644886,10,0.9989107715858576,0.002307005198194954,10,0.983,0.05034326612809746,10,0.3867091727632847,0.07132398078138627,10
guardgp,neal,vary-stream,focused,0.5,,0.1004786555490291,0.030581357836536188,10,-1.949936047837578,0.6240577528038076,10,0.9988031904318853,0.0013938525344585867,10,0.9976127237083412,0.002778655410178422,10,1.0,0.0,10,0.3291535691634003,0.0042397274495948436,10
guardgp,neal,vary-stream,focused,0.6,,0.10961941241725588,0.02034358551388932,10,-1.9530374491615188,0.27812309811272995,10,0.9996672212978369,0.0007015591037533332,10,0.9993355481727575,0.0014007874463647385,10,1.0,0.0,10,0.32432683958651737,0.0122177572407789,10
guardgp,neal,vary-stream,focused,0.7,,0.09054514300804058,0.011078052958605424,10,-2.1301046985045717,0.20284249378398125,10,0.9997142851311942,0.0006023405994919389,10,0.9997150997150998,0.0009009338063157685,10,0.9997142857142858,0.0009035079029052213,10,0.23027332416107954,0.07233494884161887,10
guardgp,neal,vary-stream,focused,0.8,,0.08401503069304088,0.023706919965151296,10,-2.1862201671910424,0.3616484678241495,10,0.9998751560549314,0.00039479121849791976,10,0.9997506234413965,0.0007885979202414442,10,1.0,0.0,10,0.1385842808256553,0.06860353435129807,10
guardgp,neal,vary-stream,uniform,0.1,,0.12326206777245433,0.014949514013418236,10,-1.929772757876112,0.13262997519192118,10,0.9872257814016695,0.008059637221769098,10,0.9748868778280544,0.015787347920959736,10,1.0,0.0,10,0.49542968583409674,0.029626569917207538,10
guardgp,neal,vary-stream,uniform,0.2,,0.11572001987134964,0.014939173535786965,10,-1.980380900863069,0.12653915754613818,10,0.9970296301742518,0.0047658916871339855,10,0.9941170816110738,0.009406486209790385,10,1.0,0.0,10,0.4554769165216661,0.016366975780207987,10
guardgp,neal,vary-stream,uniform,0.3,,0.10905441763476498,0.011781885242245488,10,-1.9829843290533247,0.2287844511271783,10,0.9976831975072272,0.0035005777953260437,10,0.995398922901332,0.006941133855493051,10,1.0,0.0,10,0.45296974063840817,0.06807436801571404,10
guardgp,neal,vary-stream,uniform,0.4,,0.11548558323604526,0.016576896058663214,10,-1.9758972098043028,0.1784378399775684,10,0.9992518703241895,0.001204603220797071,10,0.9985074626865671,0.0024032133907445226,10,1.0,0.0,10,0.3724817107127898,0.008533601563666306,10
