part,outlier_type,outlier_ratio,seed,rmse,msll,f1
P=120,uniform,0.4,7,0.10441971020541857,-2.0348628714616845,1.0
P=120,uniform,0.4,8,0.1491620843183629,-1.5675815912756041,0.9975062344139651
P=120,uniform,0.4,9,0.11927030275623772,-1.983788555702973,1.0
tnoise-10,asymmetric,0.1,0,0.08987041751370878,-2.110175226686599,0.9433962264150945
tnoise-10,asymmetric,0.1,1,0.19727242968682832,-1.6245243077168392,0.9174311926605504
tnoise-10,asymmetric,0.1,2,0.07448345168018532,-2.5348013453344542,0.8928571428571428
tnoise-10,asymmetric,0.1,3,0.10025926657084465,-2.0488860591764952,0.9803921568627451
tnoise-10,asymmetric,0.1,4,0.0728614183903656,-2.522440085785914,0.9615384615384615
tnoise-10,asymmetric,0.1,5,0.06802261225820495,-2.438104575787201,0.9009009009009009
tnoise-10,asymmetric,0.1,6,0.08232553805438848,-2.3070688929321985,0.9259259259259259
tnoise-10,asymmetric,0.1,7,0.08593404784595156,-2.3948141115382415,0.99009900990099
tnoise-10,asymmetric,0.1,8,0.07190011618043599,-2.478299017043558,0.9174311926605504
tnoise-10,asymmetric,0.1,9,0.07945157313257412,-2.4023701717382675,0.970873786407767
tnoise-10,focused,0.1,0,0.054805317594793394,-2.776245615089605,0.9803921568627451
tnoise-10,focused,0.1,1,0.22534721367296245,-0.37979427138390615,0.8571428571428571
tnoise-10,focused,0.1,2,0.08058470285001994,-2.2834217418857414,0.9090909090909091
tnoise-10,focused,0.1,3,0.0692970626397491,-2.510298457115013,0.9615384615384615
tnoise-10,focused,0.1,4,0.06649350790205773,-2.548056254813683,0.9010989010989011
tnoise-10,focused,0.1,5,0.06860374192668138,-2.613529294805084,0.9523809523809523
tnoise-10,focused,0.1,6,0.07671760870754676,-2.3918353770945036,0.9345794392523363
tnoise-10,focused,0.1,7,0.08423192578698584,-2.3639373305621416,0.9615384615384615
tnoise-10,focused,0.1,8,0.06546312654436062,-2.5600626697424227,0.9090909090909091
tnoise-10,focused,0.1,9,0.08109206837305605,-2.32485016588886,0.9803921568627451
tnoise-10,uniform,0.1,0,0.07402274489536269,-2.504954940129189,0.9803921568627451
tnoise-10,uniform,0.1,1,0.236199603548746,0.25331283187750303,0.8771929824561403
tnoise-10,uniform,0.1,2,0.07178546031855261,-2.5400994227796345,0.8620689655172413
tnoise-10,uniform,0.1,3,0.07452697176617969,-2.435808829532211,0.99009900990099
tnoise-10,uniform,0.1,4,0.06678782790704212,-2.650020861574994,0.9345794392523363
tnoise-10,uniform,0.1,5,0.07276174415753932,-2.438670632978577,0.9174311926605504
tnoise-10,uniform,0.1,6,0.07613510720315787,-2.4124785402803903,0.9523809523809523
tnoise-10,uniform,0.1,7,0.07828971553053847,-2.304578435273058,0.970873786407767
tnoise-10,uniform,0.1,8,0.07751021432773567,-2.426998202036478,0.9433962264150945
tnoise-10,uniform,0.1,9,0.07684367907290265,-2.3642702685438857,0.970873786407767
tnoise-40,asymmetric,0.4,0,0.06580304701325224,-2.5836301379521154,0.9852216748768473
tnoise-40,asymmetric,0.4,1,0.29191642434070614,0.688994363378496,0.9732360097323601
tnoise-40,asymmetric,0.4,2,0.09029322621195872,-2.326764043996998,0.9803921568627451
tnoise-40,asymmetric,0.4,3,0.06548503221782634,-2.5887939998357594,0.99009900990099
tnoise-40,asymmetric,0.4,4,0.08991998851910327,-2.2259851578175747,0.9876543209876543
tnoise-40,asymmetric,0.4,5,0.07992516646976973,-2.328608548383935,0.99009900990099
tnoise-40,asymmetric,0.4,6,0.06689897253590643,-2.5547080421817094,0.99009900990099
tnoise-40,asymmetric,0.4,7,0.08749049749431255,-2.1930877906162882,0.9975062344139651
tnoise-40,asymmetric,0.4,8,0.0664159602063366,-2.5429772036773204,0.9925558312655086
tnoise-40,asymmetric,0.4,9,0.08516055474650452,-2.328469080593516,0.9950248756218906
tnoise-40,focused,0.4,0,0.07055404432785045,-2.6554210085613645,0.9925558312655086
tnoise-40,focused,0.4,1,0.23682849985058027,-0.7739313858222312,0.9803921568627451
tnoise-40,focused,0.4,2,0.07810330637597511,-2.2202083375556665,0.9876543209876543
tnoise-40,focused,0.4,3,0.08949605844081726,-2.0862889948361163,0.9876543209876543
tnoise-40,focused,0.4,4,0.0645138128434978,-2.5272399225611033,0.9876543209876543
tnoise-40,focused,0.4,5,0.06833858755333021,-2.503348101786584,0.9779951100244498
tnoise-40,focused,0.4,6,0.0766356167451112,-2.555316148103734,0.9925558312655086
tnoise-40,focused,0.4,7,0.07332966151749484,-2.4469697035097595,0.9975062344139651
tnoise-40,focused,0.4,8,0.11303147528588005,-1.593362555115254,0.9876543209876543
tnoise-40,focused,0.4,9,0.11686899227137962,-1.8862563265310959,0.9975062344139651
tnoise-40,uniform,0.4,0,0.07580781936500895,-2.5511994262013955,0.9925558312655086
tnoise-40,uniform,0.4,1,0.30859755390387594,1.2474173958619705,0.982716049382716
tnoise-40,uniform,0.4,2,0.07823568368167945,-2.5630185720938536,0.9852216748768473
tnoise-40,uniform,0.4,3,0.10186087881559891,-1.7485106027775439,0.9852216748768473
tnoise-40,uniform,0.4,4,0.07323483282687776,-2.6302924262711547,0.99009900990099
tnoise-40,uniform,0.4,5,0.0885572500341933,-1.9995388922391262,0.9828009828009828
tnoise-40,uniform,0.4,6,0.06763412717547365,-2.4713165235004304,0.9876543209876543
tnoise-40,uniform,0.4,7,0.08438930004271651,-2.2775773387788143,0.9975062344139651
tnoise-40,uniform,0.4,8,0.07907040986669955,-2.3139832160637006,0.9828009828009828
tnoise-40,uniform,0.4,9,0.07813215448467485,-2.3939894609741352,0.9950248756218906
