row_type,agent,tau_k,name,rmse,nll,msll,avg_step_ms,avg_pred_ms,avg_detect_ms,avg_upd_ms,route_main,route_critic,alarms,tp,fp,fn,tn,precision,recall,f1,time,t,y_obs,y_true_gt,mu,var,sigma,lab_curr,route,pred_alarm,gt_anomaly,w_evt,rolled_m,rolled_c
detail,1,1,,,,,,,,,,,,,,,,,,,1139.0,1139.0,-0.453447094,-0.506901762,-0.493817982352283,0.001491090297471187,0.038614638383276195,clean,main,0.0,0.0,0.2852557884992418,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1140.0,1140.0,-0.402980031,-0.504823327,-0.49805543784236117,0.001474593439611427,0.03840043540913862,clean,main,0.0,0.0,0.13199652015724384,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1141.0,1141.0,-0.246430514,-0.499655471,-0.4986909098772867,0.0015556019197444648,0.039441119656323964,attack,alarm,1.0,0.0,0.3049094926912742,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1142.0,1142.0,-0.164235669,-0.492947075,-0.5005575940911928,0.0016620197215457821,0.04076787609804786,attack,alarm,1.0,0.0,0.6953043157709925,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1143.0,1143.0,-0.252949934,-0.488147132,-0.5038398467635274,0.0016831696828100151,0.04102645101407158,attack,alarm,1.0,0.0,0.8264833342452748,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1144.0,1144.0,-0.350387215,-0.485391933,-0.5064930831710419,0.001676831758928854,0.040949136241547925,uncertain,critic,0.0,0.0,0.6919754721561611,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1145.0,1145.0,-0.479884267,-0.48528178,-0.5024554606118508,0.001626825446660818,0.04033392426557101,clean,main,0.0,0.0,0.4642112882141135,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1146.0,1146.0,-0.516192446,-0.485899993,-0.5025560893335814,0.001487806516004886,0.03857209504298264,clean,main,0.0,0.0,0.07254724651456812,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1147.0,1147.0,-0.550482147,-0.487191637,-0.5012813755871486,0.0013941463854958425,0.03733826971748748,clean,main,0.0,0.0,0.04431210129604135,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1148.0,1148.0,-0.609667508,-0.489641154,-0.5019791957676489,0.0012939202547355144,0.03597110305141496,clean,main,0.0,0.0,0.15961011901704514,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1149.0,1149.0,-0.586489837,-0.491578128,-0.5054481371698532,0.0011870241895119982,0.034453217404358596,clean,main,0.0,0.0,0.3413671541197716,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1150.0,1150.0,-0.62399852,-0.494226535,-0.507696715696837,0.0011119062950705194,0.0333452589594161,clean,main,0.0,0.0,0.263155644100612,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1151.0,1151.0,-0.607100084,-0.496484006,-0.5128115816635703,0.001044486059454175,0.03231850954877367,clean,main,0.0,0.0,0.37164742717289945,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1152.0,1152.0,-0.665465002,-0.499863626,-0.5120615735050196,0.0010540039022073344,0.03246542625944305,uncertain,critic,0.0,0.0,0.30811212841520685,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1153.0,1153.0,-0.628791219,-0.502442178,-0.5144612665798527,0.0010560711106919474,0.03249724774026175,clean,main,0.0,0.0,0.4662445097411422,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1154.0,1154.0,-0.675800838,-0.505909351,-0.5156920771409901,0.0010632555260771115,0.032607599207502405,uncertain,critic,0.0,0.0,0.3601840791373063,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1155.0,1155.0,-0.465674012,-0.505104645,-0.5207701690856013,0.0010697178498568771,0.03270654139246272,clean,main,0.0,0.0,0.4742430485426806,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1156.0,1156.0,-0.611996239,-0.507242477,-0.5184183525970218,0.0010936377293793154,0.03307019397250816,clean,main,0.0,0.0,0.17484613931815096,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1157.0,1157.0,-0.668212572,-0.510461878,-0.5177609207411542,0.0011582936825778045,0.03403371391102952,uncertain,critic,0.0,0.0,0.2934254069152784,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1158.0,1158.0,-0.782261555,-0.515897872,-0.5193663676724174,0.001232145964439546,0.03510193676194443,attack,alarm,1.0,0.0,0.4436765192192694,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1159.0,1159.0,-0.7098412,-0.519776739,-0.5201821709250165,0.0012660863284180701,0.03558210685749328,uncertain,critic,0.0,0.0,0.6942722052874083,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1160.0,1160.0,-0.581801784,-0.521017239,-0.5180266597504508,0.0012856733497154105,0.03585628745025634,clean,main,0.0,0.0,0.5259641702081608,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1161.0,1161.0,-0.684019741,-0.524277289,-0.519400189502264,0.0012709803294601585,0.035650811063146354,uncertain,critic,0.0,0.0,0.19121039760804326,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1162.0,1162.0,-0.536078015,-0.524513304,-0.5228306383105152,0.001230384007112728,0.03507683006077841,clean,main,0.0,0.0,0.4579645324091757,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1163.0,1163.0,-0.583698754,-0.525697013,-0.5309759750350029,0.0011409487939685325,0.03377793353609028,clean,main,0.0,0.0,0.039221012763856034,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1164.0,1164.0,-0.44696598,-0.524122392,-0.5336257038310215,0.0011293963018936815,0.033606491960537645,clean,main,0.0,0.0,0.15641037434953353,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1165.0,1165.0,-0.52248845,-0.524089713,-0.534364887309946,0.001095235860113286,0.03309434785750107,clean,main,0.0,0.0,0.2558575369304097,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1166.0,1166.0,-0.665530972,-0.526918539,-0.5337402473490653,0.0011425154988315978,0.03380111682817001,uncertain,critic,0.0,0.0,0.03588218652032149,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1167.0,1167.0,-0.698848738,-0.530357143,-0.5350557105457026,0.0011366791082535466,0.033714672002757885,uncertain,critic,0.0,0.0,0.37703757103848023,0.0,0.0
