series,family,split,method,config,seed,warmup,n,sliding_window,n_anom_eval,elapsed_s,AUC_PR,AUC_ROC,PointF1_opt,VUS_PR,VUS_ROC,precision,recall,F1,tp,fp,fn
008_NAB_id_8_Synthetic_tr_1007_1st_2734.csv,NAB,eva,spot,q0.001_d50,0,500,4031,71,402,0.5,0.1236346773892233,0.5371822574567241,0.2931205726544804,0.1346874637121095,0.5690017539716022,0.1522157996146435,0.3930348258706467,0.2194444444444444,158.0,880.0,244.0
005_NAB_id_5_Traffic_tr_594_1st_1645.csv,NAB,eva,guardgp,default,0,500,2379,22,238,3.4,0.1557781336564008,0.5273608529334951,0.2278193358150342,0.1632149800346676,0.5460434503839438,0.0,0.0,0.0,0.0,6.0,238.0
009_NAB_id_9_Traffic_tr_500_1st_438.csv,NAB,eva,spot,q0.001_d50,0,500,2161,128,154,0.0,0.424056103076123,0.7491942364205137,0.4273459274343368,0.4948859343879368,0.8104005747585192,0.0,0.0,0.0,0.0,0.0,154.0
010_NAB_id_10_WebService_tr_500_1st_271.csv,NAB,eva,spot,q0.001_d50,0,500,1000,142,48,0.0,0.4244010567544481,0.6535766961651918,0.4444408163561477,0.4550167722400072,0.7380267061277647,1.0,0.0208333333333333,0.0408163265306122,1.0,0.0,47.0
011_NAB_id_11_Facility_tr_1007_1st_1526.csv,NAB,eva,spot,q0.001_d50,0,500,4031,204,474,0.4,0.4546692049497098,0.6607067683079162,0.4458981744961522,0.4803772811084523,0.7142780142534476,0.7236180904522613,0.3037974683544304,0.4279346210995542,144.0,55.0,330.0
012_NAB_id_12_Synthetic_tr_1007_1st_2787.csv,NAB,tuning,spot,q0.001_d50,0,500,4031,288,513,0.3,0.1066461584080592,0.3389778289328357,0.2539108193168864,0.1420071524388119,0.4503201990621587,0.1153846153846153,0.0058479532163742,0.0111317254174397,3.0,23.0,510.0
013_NAB_id_13_Traffic_tr_623_1st_2084.csv,NAB,eva,spot,q0.001_d50,0,500,2494,247,248,0.1,0.2711449684629958,0.6200578280308908,0.2768037080030722,0.3935744209456688,0.7861813744404794,1.0,0.0725806451612903,0.1353383458646616,18.0,0.0,230.0
014_NAB_id_14_WebService_tr_500_1st_1045.csv,NAB,eva,spot,q0.001_d50,0,500,1537,23,152,0.0,0.1275113907020291,0.4327014570324115,0.2568004701941938,0.1339946583073271,0.4544778003208622,0.1666666666666666,0.006578947368421,0.0126582278481012,1.0,5.0,151.0
015_NAB_id_15_Synthetic_tr_1007_1st_2787.csv,NAB,eva,spot,q0.001_d50,0,500,4031,288,513,0.2,0.1244929931781739,0.4370644230781652,0.2549439164112967,0.1689637182762771,0.5377196213716139,0.0,0.0,0.0,0.0,14.0,513.0
016_NAB_id_16_Environment_tr_1816_1st_3540.csv,NAB,eva,spot,q0.001_d50,0,500,7266,23,724,0.2,0.1564707700733822,0.5967068000972932,0.2292482012546252,0.1617669860689713,0.6074318664962653,0.2409638554216867,0.0552486187845303,0.0898876404494382,40.0,126.0,684.0
003_NAB_id_3_WebService_tr_1362_1st_1462.csv,NAB,tuning,rrcf,sh4_ts256,0,500,15852,21,1523,36.0,0.1088337363216306,0.5000314079194582,0.1811209464592343,0.1061505391667927,0.5070074549364147,,,,,,
017_NAB_id_17_Synthetic_tr_1007_1st_1805.csv,NAB,eva,spot,q0.001_d50,0,500,4031,100,402,0.2,0.2362767702410592,0.5261702831321182,0.2290040612992422,0.2432049224960379,0.5570546936458594,0.0,0.0,0.0,0.0,0.0,402.0
018_NAB_id_18_Facility_tr_500_1st_669.csv,NAB,eva,spot,q0.001_d50,0,500,1881,5,188,0.1,0.1175891561995182,0.3637419521677872,0.2396409754991257,0.1203454572818365,0.3703278688657597,0.0,0.0,0.0,0.0,5.0,188.0
019_NAB_id_19_Facility_tr_1007_1st_1171.csv,NAB,eva,spot,q0.001_d50,0,500,4031,8,400,0.1,0.1859540665977187,0.6035168476525071,0.2464752805302279,0.1796685540609372,0.6073797571937095,0.875,0.0175,0.034313725490196,7.0,1.0,393.0
020_NAB_id_20_Synthetic_tr_1007_1st_2679.csv,NAB,eva,spot,q0.001_d50,0,500,4031,288,621,0.1,0.1493698976755338,0.3544050998555704,0.2991304040716358,0.2296072885751706,0.4820528457789373,0.1572327044025157,0.1610305958132045,0.1591089896579156,100.0,536.0,521.0
