seed,warmup,outlier_type,rmse,msll,f1,precision,recall,part,warmup_contam
2,40,asymmetric,0.1315789842196484,-1.6124784491683966,0.9950248756218906,0.9900990099009901,1.0,length,0.0
3,40,asymmetric,0.10147983050620406,-2.0553634290643057,1.0,1.0,1.0,length,0.0
4,40,asymmetric,0.14535069134214748,-1.7077141353669303,1.0,1.0,1.0,length,0.0
5,40,asymmetric,0.10990816749977682,-1.8287359448933471,1.0,1.0,1.0,length,0.0
6,40,asymmetric,0.09845065494151663,-2.1922853416679158,0.9950248756218906,0.9900990099009901,1.0,length,0.0
7,40,asymmetric,0.12199341105913107,-1.958430065734398,1.0,1.0,1.0,length,0.0
8,40,asymmetric,0.11252109499520663,-1.980930023538764,1.0,1.0,1.0,length,0.0
9,40,asymmetric,0.11593270014924009,-1.9949811508404307,1.0,1.0,1.0,length,0.0
0,40,focused,0.08984031040066903,-2.2825003189594124,1.0,1.0,1.0,length,0.0
1,40,focused,0.09792885816236521,-1.944514421034802,0.9975062344139651,0.9950248756218906,1.0,length,0.0
2,40,focused,0.1696979865875248,-1.2633575098781193,1.0,1.0,1.0,length,0.0
3,40,focused,0.10516152342431802,-2.013457400116002,0.9949748743718593,1.0,0.99,length,0.0
4,40,focused,0.08655496673310398,-2.2050183225024744,1.0,1.0,1.0,length,0.0
5,40,focused,0.10064458095672821,-2.123442299306448,1.0,1.0,1.0,length,0.0
6,40,focused,0.09966774717902274,-2.280121006789499,1.0,1.0,1.0,length,0.0
7,40,focused,0.10598096924485774,-2.107678186540534,0.9105691056910568,0.9940828402366864,0.84,length,0.0
8,40,focused,0.12005752166869647,-1.9356068979444978,1.0,1.0,1.0,length,0.0
9,40,focused,0.09976193253362432,-2.0964562650307745,1.0,1.0,1.0,length,0.0
0,40,uniform,0.09920694346614917,-2.095246922804713,0.9975062344139651,0.9950248756218906,1.0,length,0.0
1,40,uniform,0.12638813190012319,-1.9013005718009421,1.0,1.0,1.0,length,0.0
2,40,uniform,0.10950788948503433,-2.08406198915483,1.0,1.0,1.0,length,0.0
3,40,uniform,0.13172661063286692,-1.7846053627879757,1.0,1.0,1.0,length,0.0
4,40,uniform,0.11636564712253865,-2.0982986706063644,0.9975062344139651,0.9950248756218906,1.0,length,0.0
5,40,uniform,0.0987331260839968,-2.09824957394814,1.0,1.0,1.0,length,0.0
6,40,uniform,0.1000753863897246,-2.110975988499802,1.0,1.0,1.0,length,0.0
7,40,uniform,0.10441971020541857,-2.0348628714616845,1.0,1.0,1.0,length,0.0
8,40,uniform,0.1491620843183629,-1.5675815912756041,0.9975062344139651,0.9950248756218906,1.0,length,0.0
9,40,uniform,0.11927030275623772,-1.983788555702973,1.0,1.0,1.0,length,0.0
0,80,asymmetric,0.10711609966566168,-2.085232868899985,1.0,1.0,1.0,length,0.0
1,80,asymmetric,0.10486672222606712,-1.9964489285768559,1.0,1.0,1.0,length,0.0
2,80,asymmetric,0.11119691723872199,-2.1209885186360875,1.0,1.0,1.0,length,0.0
3,80,asymmetric,0.1234093890168495,-1.8692803826911997,1.0,1.0,1.0,length,0.0
4,80,asymmetric,0.1373639280776061,-1.7551928778075543,1.0,1.0,1.0,length,0.0
