seed,warmup,outlier_type,rmse,msll,f1,precision,recall,part,warmup_contam
0,40,asymmetric,1.4748232040133713,5.955825186918294,0.0,0.0,0.0,contam,0.1
1,40,asymmetric,1.524956408074096,6.031026913595665,0.0,0.0,0.0,contam,0.1
2,40,asymmetric,1.742211171507782,2.584586997471425,0.08490566037735849,0.75,0.045,contam,0.1
3,40,asymmetric,1.592807991398648,6.780827292155435,0.0,0.0,0.0,contam,0.1
4,40,asymmetric,1.38055561215541,5.3664731689006935,0.0,0.0,0.0,contam,0.1
5,40,asymmetric,1.551896747969961,6.0716509346690275,0.0,0.0,0.0,contam,0.1
6,40,asymmetric,1.377126327597233,2.7679445751182152,0.0,0.0,0.0,contam,0.1
7,40,asymmetric,1.4972192536237763,4.478923605949274,0.0,0.0,0.0,contam,0.1
8,40,asymmetric,1.3142868623286188,4.623621283339952,0.0,0.0,0.0,contam,0.1
9,40,asymmetric,1.6341019170410183,9.066317090218545,0.0,0.0,0.0,contam,0.1
0,40,uniform,0.6094862981351948,-0.10647984813364957,0.0,0.0,0.0,contam,0.1
1,40,uniform,0.7298591393147041,-0.07827932248626061,0.0,0.0,0.0,contam,0.1
2,40,uniform,0.9662646272268314,0.16807527513249465,0.019801980198019802,1.0,0.01,contam,0.1
3,40,uniform,0.7332837889092559,0.08775501828134986,0.0,0.0,0.0,contam,0.1
4,40,uniform,0.8180549524766612,-0.19083385689574686,0.0,0.0,0.0,contam,0.1
5,40,uniform,0.7755675517556954,-0.059767695077551294,0.0,0.0,0.0,contam,0.1
6,40,uniform,0.8863767173876904,0.18899551772717588,0.0,0.0,0.0,contam,0.1
7,40,uniform,0.6891039305470462,-0.11350974199889469,0.0,0.0,0.0,contam,0.1
8,40,uniform,0.8554895745181884,0.38610731702475787,0.0,0.0,0.0,contam,0.1
9,40,uniform,0.7708242869616091,0.11832649268552117,0.0,0.0,0.0,contam,0.1
0,40,asymmetric,1.525945596765839,5.220857063366373,0.0,0.0,0.0,contam,0.2
1,40,asymmetric,1.4807852254496299,4.4709633190385585,0.0,0.0,0.0,contam,0.2
2,40,asymmetric,1.3852674030806902,4.160857721632298,0.0,0.0,0.0,contam,0.2
3,40,asymmetric,1.4092364659004013,2.3629432861998434,0.04878048780487806,1.0,0.025,contam,0.2
4,40,asymmetric,1.5256255933460574,7.867263677565692,0.0,0.0,0.0,contam,0.2
5,40,asymmetric,1.9107092103540442,3.454645158387026,0.0,0.0,0.0,contam,0.2
6,40,asymmetric,1.6061665377623828,4.602177584537956,0.0,0.0,0.0,contam,0.2
